date,cases,deaths,new_cases
1/21/2020,1,0,1
1/22/2020,1,0,0
1/23/2020,1,0,0
1/24/2020,2,0,1
1/25/2020,3,0,1
1/26/2020,5,0,2
1/27/2020,5,0,0
1/28/2020,5,0,0
1/29/2020,5,0,0
1/30/2020,6,0,1
1/31/2020,7,0,1
2/1/2020,8,0,1
2/2/2020,11,0,3
2/3/2020,11,0,0
2/4/2020,11,0,0
2/5/2020,12,0,1
2/6/2020,12,0,0
2/7/2020,12,0,0
2/8/2020,12,0,0
2/9/2020,12,0,0
2/10/2020,13,0,1
2/11/2020,13,0,0
2/12/2020,14,0,1
2/13/2020,15,0,1
2/14/2020,15,0,0
2/15/2020,15,0,0
2/16/2020,15,0,0
2/17/2020,25,0,10
2/18/2020,25,0,0
2/19/2020,25,0,0
2/20/2020,27,0,2
2/21/2020,30,0,3
2/22/2020,30,0,0
2/23/2020,30,0,0
2/24/2020,43,0,13
2/25/2020,45,0,2
2/26/2020,60,0,15
2/27/2020,60,0,0
2/28/2020,65,0,5
2/29/2020,70,1,5
3/1/2020,88,3,18
3/2/2020,104,6,16
3/3/2020,125,10,21
3/4/2020,161,12,36
3/5/2020,228,12,67
3/6/2020,311,15,83
3/7/2020,428,19,117
3/8/2020,547,22,119
3/9/2020,748,26,201
3/10/2020,1018,31,270
3/11/2020,1263,37,245
3/12/2020,1668,43,405
3/13/2020,2224,50,556
3/14/2020,2898,60,674
3/15/2020,3600,68,702
3/16/2020,4507,91,907
3/17/2020,5906,117,1399
3/18/2020,8350,162,2444
3/19/2020,12393,212,4043
3/20/2020,18012,277,5619
3/21/2020,24528,360,6516
3/22/2020,33073,458,8545
3/23/2020,43505,579,10432
3/24/2020,53938,785,10433
3/25/2020,68572,1054,14634
3/26/2020,85570,1353,16998
3/27/2020,102900,1770,17330
3/28/2020,123966,2300,21066
3/29/2020,142486,2718,18520
3/30/2020,163955,3368,21469
3/31/2020,188461,4304,24506
4/1/2020,215391,5325,26930
4/2/2020,245108,6541,29717
4/3/2020,277426,7932,32318
4/4/2020,312525,9488,35099
4/5/2020,338141,10856,25616
4/6/2020,369057,12382,30916
4/7/2020,399394,14616,30337
4/8/2020,431214,16701,31820
4/9/2020,465913,18821,34699
4/10/2020,499386,21084,33473
4/11/2020,531106,23168,31720
4/12/2020,558249,24849,27143
4/13/2020,584018,26613,25769
